Date,Close/Last
2/2/22,$49.35 
2/1/22,$49.83 
1/31/22,$50.32 
1/28/22,$48.75 
1/27/22,$48.13 
1/26/22,$49.92 
1/25/22,$50.90 
1/24/22,$52.83 
1/21/22,$52.08 
1/20/22,$52.48 
1/19/22,$54.66 
1/18/22,$55.72 
1/14/22,$58.10 
1/13/22,$58.19 
1/12/22,$57.83 
1/11/22,$57.32 
1/10/22,$57.40 
1/7/22,$57.97 
1/6/22,$59.47 
1/5/22,$59.12 
1/4/22,$61.50 
1/3/22,$61.74 
